,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
4,,,CHI,,14.0,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,,,26,,,
5,,,WAS,,10.0,3,0,,8,22,36.4,166,1,4.5,1,4.5,37,7.5,6.4,20.8,55.3,60.0,,,,,,,,,26,,,
6,1959,29,CHI,,14.0,5,0,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,,,,26,,,
7,1960,30,PIT,,10.0,12,3,0-2-1,25,51,49.0,358,2,3.9,3,5.9,51,7.0,5.2,14.3,29.8,60.7,,,,,,1.0,0.0,1.0,26,,,
8,1961,31,PIT,QB,10.0,11,8,4-4-0,89,156,57.1,1253,11,7.1,16,10.3,88,8.0,4.8,14.1,113.9,67.0,,,,,,1.0,1.0,4.0,26,,,
9,1962,32,CHI,,14.0,5,0,,3,13,23.1,79,1,7.7,4,30.8,65,6.1,-6.2,26.3,15.8,38.5,,,,,,,,0.0,26,,,
10,1963,33,CHI,,10.0,6,0,,29,43,67.4,369,3,7.0,2,4.7,44,8.6,7.9,12.7,61.5,97.9,1.0,13.0,2.3,8.09,7.41,1.0,1.0,2.0,26,,,
11,1964,34,CHI,qb,10.0,9,4,3-1-0,99,160,61.9,1099,12,7.5,7,4.4,63,6.9,6.4,11.1,122.1,89.0,8.0,67.0,4.8,6.14,5.7,1.0,2.0,5.0,26,,,
12,1965,35,CHI,QB,10.0,14,12,9-3-0,176,312,56.4,2641,20,6.4,9,2.9,80,8.5,8.4,15.0,188.6,93.7,24.0,208.0,7.1,7.24,7.23,1.0,0.0,14.0,26,,,
13,1966,36,CHI,QB,10.0,14,14,5-7-2,147,309,47.6,1858,10,3.2,21,6.8,80,6.0,3.6,12.6,132.7,49.3,26.0,211.0,7.8,4.92,2.69,2.0,1.0,5.0,26,,,
14,1967,37,CHI,,10.0,3,0,,18,33,54.5,185,0,0.0,2,6.1,30,5.6,2.9,10.3,61.7,45.6,5.0,42.0,13.2,3.76,1.39,,,1.0,26,,,
15,1968,38,CHI,,10.0,2,0,,2,7,28.6,23,0,0.0,0,0.0,13,3.3,3.3,11.5,11.5,40.8,3.0,21.0,30.0,0.2,0.2,,,0.0,26,,,
16,Career,Career,,,,103,41,21-17-3,626,1190,52.6,8433,61,5.1,74,6.2,88,7.1,5.3,13.5,81.9,66.6,67.0,562.0,5.3,6.26,4.58,7.0,5.0,32.0,26,,,
17,9 yrs,9 yrs,CHI,,,59,30,17-11-2,474,878,54.0,6254,46,5.2,45,5.1,80,7.1,5.9,13.2,106.0,72.9,67.0,562.0,7.2,6.03,5.01,5.0,4.0,27.0,26,,,
18,2 yrs,2 yrs,PIT,,,23,11,4-6-1,114,207,55.1,1611,13,6.3,19,9.2,88,7.8,4.9,14.1,70.0,63.1,,,,,,2.0,1.0,5.0,26,,,
19,2 yrs,2 yrs,RAM,,,11,0,,24,55,43.6,299,1,1.8,6,10.9,34,5.4,0.9,12.5,27.2,27.6,,,,,,,,,26,,,
20,2 yrs,2 yrs,WAS,,,10,0,,14,50,28.0,269,1,2.0,4,8.0,37,5.4,2.2,19.2,26.9,22.8,,,,,,,,,26,,,
0,2005,23,NWE,,16.0,2,0,,13,24,54.2,183,2,8.3,1,4.2,36,7.6,7.4,14.1,91.5,89.4,1,1,4.0,7.28,7.08,,,1,27,8.0,,
