,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
21,2005,43,NWE,,2,5,0,,5,10,50,29,0,0,0,0,13,2.9,2.9,5.8,5.8,56.2,1,13,9.1,1.45,1.45,,,0,403,3,,
22,Career,Career,,,,92,66,38-28-0,1177,2151,54.7,14715,86,4,68,3.2,84,6.8,6.2,12.5,159.9,76.3,107,687,4.7,6.21,5.62,8,10,60,403,601,,
23,4 yrs,4 yrs,NWE,,,22,13,8-5-0,148,305,48.5,1871,11,3.6,14,4.6,80,6.1,4.8,12.6,85.0,61.0,19,133,5.9,5.36,4.10,1,1,6,403,3,,
24,4 yrs,4 yrs,SDG,,,26,22,8-14-0,408,737,55.4,4901,25,3.4,22,3,78,6.6,6.0,12.0,188.5,74.8,34,202,4.4,6.09,5.46,1,1,18,403,235,,
25,3 yrs,3 yrs,BUF,,,39,30,21-9-0,598,1063,56.3,7582,47,4.4,30,2.8,84,7.1,6.7,12.7,194.4,81.7,48,322,4.3,6.53,6.17,5,7,35,403,363,,
26,2 yrs,2 yrs,CHI,,,5,1,1-0-0,23,46,50,361,3,6.5,2,4.3,58,7.8,7.2,15.7,72.2,80.1,6,30,11.5,6.37,5.79,1,1,1,403,0,,
0,1994,24,NYJ,,14.0,1,0,,5,8,62.5,45,0,0.0,1,12.5,16,5.6,0.0,9.0,45.0,38.0,0,0,0.0,5.63,0.0,,,0,404,2,,
1,1995,25,NYJ,,4.0,1,0,,16,29,55.2,128,0,0.0,1,3.4,32,4.4,2.9,8.0,128.0,52.1,4,21,12.1,3.24,1.88,,,0,404,6,,
2,1996,26,NYJ,,4.0,5,3,0-3-0,54,110,49.1,559,3,2.7,7,6.4,46,5.1,2.8,10.4,111.8,46.7,9,65,7.6,4.15,2.01,,,2,404,26,,
3,1997,27,NYJ,,4.0,6,2,1-1-0,56,97,57.7,705,3,3.1,1,1.0,35,7.3,7.4,12.6,117.5,86.5,3,24,3.0,6.81,6.96,1.0,2.0,2,404,36,,
4,1998,28,NYJ,,4.0,5,3,0-3-0,58,108,53.7,749,4,3.7,6,5.6,48,6.9,5.2,12.9,149.8,64.9,5,49,4.4,6.19,4.51,,,3,404,36,,
5,1999,29,SEA,,13.0,3,1,1-0-0,18,30,60.0,283,2,6.7,0,0.0,49,9.4,10.8,15.7,94.3,113.6,6,34,16.7,6.92,8.03,1.0,1.0,1,404,13,,
6,Career,Career,,,,21,9,2-7-0,207,382,54.2,2469,12,3.1,16,4.2,49,6.5,5.2,11.9,117.6,67.2,27,193,6.6,5.56,4.39,2.0,3.0,8,404,119,,
7,5 yrs,5 yrs,NYJ,,,18,8,1-7-0,189,352,53.7,2186,10,2.8,16,4.5,48,6.2,4.7,11.6,121.4,63.2,21,159,5.6,5.43,4.04,1.0,2.0,7,404,106,,
8,1 yr,1 yr,SEA,,,3,1,1-0-0,18,30,60.0,283,2,6.7,0,0.0,49,9.4,10.8,15.7,94.3,113.6,6,34,16.7,6.92,8.03,1.0,1.0,1,404,13,,
0,1987,23,STL,,19.0,3,2,1-1-0,18,42,42.9,263,0,0,1,2.4,49,6.3,5.2,14.6,87.7,54.0,5,34,10.6,4.87,3.91,,,1,405,,,
1,Career,Career,,,,3,2,1-1-0,18,42,42.9,263,0,0,1,2.4,49,6.3,5.2,14.6,87.7,54.0,5,34,10.6,4.87,3.91,,,1,405,,,
0,2000,27,CHI,,11.0,1,0.0,,0,1,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.0,0.0,,,0,406,,,
1,Career,Career,,,,1,,,0,1,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.0,0.0,,,0,406,0.0,,
0,1999,24,GNB,,11.0,16,0,,3,10,30.0,41,1,10.0,0,0.0,19,4.1,6.1,13.7,2.6,77.5,1,9,9.1,2.91,4.73,,,0,407,2,,
1,2000,25,GNB,,11.0,16,0,,10,19,52.6,104,1,5.3,0,0.0,27,5.5,6.5,10.4,6.5,86.3,1,2,5.0,5.1,6.1,,,0,407,4,,
2,2001,26,SEA,QB,8.0,13,12,5-7-0,176,321,54.8,2023,7,2.2,8,2.5,64,6.3,5.6,11.5,155.6,70.9,38,251,10.6,4.94,4.32,0.0,2.0,7,407,92,,
3,2002,27,SEA,QB,8.0,16,10,5-5-0,267,419,63.7,3075,15,3.6,10,2.4,49,7.3,7.0,11.5,192.2,87.8,26,143,5.8,6.59,6.25,1.0,3.0,11,407,160,,
4,2003*,28,SEA,QB,8.0,16,16,10-6-0,313,513,61.0,3841,26,5.1,15,2.9,80,7.5,7.2,12.3,240.1,88.8,42,246,7.6,6.48,6.2,2.0,3.0,15,407,189,PB,
5,2004,29,SEA,QB,8.0,14,14,7-7-0,279,474,58.9,3382,22,4.6,15,3.2,60,7.1,6.6,12.1,241.6,83.1,30,155,6.0,6.4,5.94,,,11,407,176,,
6,2005*,30,SEA,QB,8.0,16,16,13-3-0,294,449,65.5,3459,24,5.3,9,2.0,56,7.7,7.9,11.8,216.2,98.2,24,154,5.1,6.99,7.15,2.0,2.0,15,407,182,PB,
7,2006,31,SEA,QB,8.0,12,12,7-5-0,210,371,56.6,2442,18,4.9,15,4.0,72,6.6,5.7,11.6,203.5,76.0,34,229,8.4,5.46,4.69,3.0,4.0,8,407,128,,56.9
8,2007*,32,SEA,QB,8.0,16,16,10-6-0,352,562,62.6,3966,28,5.0,12,2.1,65,7.1,7.1,11.3,247.9,91.4,33,204,5.5,6.32,6.36,2.0,2.0,11,407,204,PB,54.4
9,2008,33,SEA,qb,8.0,7,7,1-6-0,109,209,52.2,1216,5,2.4,10,4.8,34,5.8,4.1,11.2,173.7,57.8,19,119,8.3,4.81,3.28,,,0,407,64,,36.3
10,2009,34,SEA,QB,8.0,14,14,5-9-0,293,488,60.0,3029,17,3.5,17,3.5,53,6.2,5.3,10.3,216.4,75.1,32,209,6.2,5.42,4.61,0.0,1.0,7,407,148,,34.0
11,2010,35,SEA,QB,8.0,14,14,6-8-0,266,444,59.9,3001,12,2.7,17,3.8,87,6.8,5.6,11.3,214.4,73.2,29,175,6.1,5.97,4.86,0.0,0.0,8,407,137,,52.3
12,2011,36,TEN,QB,8.0,16,16,9-7-0,319,518,61.6,3571,18,3.5,14,2.7,80,6.9,6.4,11.2,223.2,82.4,19,153,3.5,6.36,5.86,2.0,3.0,9,407,163,,51.4
13,2012,37,TEN,qb,8.0,8,5,2-3-0,138,221,62.4,1367,7,3.2,5,2.3,37,6.2,5.8,9.9,170.9,81.0,14,103,6.0,5.38,5.02,2.0,2.0,3,407,71,,45.0
14,2013,38,IND,,8.0,3,0,,7,12,58.3,130,0,0.0,1,8.3,57,10.8,7.1,18.6,43.3,61.1,0,0,0.0,10.83,7.08,,,0,407,6,,25.0
15,2014,39,IND,,8.0,4,0,,30,44,68.2,301,2,4.5,0,0.0,32,6.8,7.8,10.0,75.3,102.6,2,7,4.3,6.39,7.26,,,1,407,17,,57.9
16,2015,40,IND,QB,8.0,8,8,5-3-0,156,256,60.9,1690,9,3.5,5,2.0,57,6.6,6.4,10.8,211.3,84.0,16,101,5.9,5.84,5.68,1.0,2.0,4,407,87,,45.1
17,Career,Career,,,,209,160,85-75-0,3222,5330,60.5,36638,212,4.0,153,2.9,87,6.9,6.4,11.4,175.3,82.4,360,2260,6.3,6.04,5.58,15.0,24.0,110,407,1830,,
18,10 yrs,10 yrs,SEA,,,138,131,69-62-0,2559,4250,60.2,29434,174,4.1,128,3.0,87,6.9,6.4,11.5,213.3,82.2,307,1885,6.7,6.05,5.55,10.0,17.0,93,407,1480,,
19,3 yrs,3 yrs,IND,,,15,8,5-3-0,193,312,61.9,2121,11,3.5,6,1.9,57,6.8,6.6,11.0,141.4,85.7,18,108,5.5,6.1,5.95,1.0,2.0,5,407,110,,
20,2 yrs,2 yrs,GNB,,,32,0,,13,29,44.8,145,2,6.9,0,0.0,27,5.0,6.4,11.2,4.5,83.3,2,11,6.5,4.32,5.61,,,0,407,6,,
21,2 yrs,2 yrs,TEN,,,24,21,11-10-0,457,739,61.8,4938,25,3.4,19,2.6,80,6.7,6.2,10.8,205.8,82.0,33,256,4.3,6.06,5.6,4.0,5.0,12,407,234,,
0,2002,24,PHI,,11.0,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,408,,,
1,2003,25,WAS,qb,8.0,7,5,1-4-0,95,177,53.7,1012,5,2.8,7,4.0,40,5.7,4.5,10.7,144.6,63.6,9,44,4.8,5.2,4.05,,,1,408,52.0,,0.5
2,2005,27,NYG,,8.0,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,408,,,
3,2007,29,ARI,,4.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,408,,,
4,Career,Career,,,,12,5,1-4-0,95,177,53.7,1012,5,2.8,7,4.0,40,5.7,4.5,10.7,84.3,63.6,9,44,4.8,5.2,4.05,,,1,408,52.0,,
5,1 yr,1 yr,ARI,,,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,408,0.0,,
6,1 yr,1 yr,NYG,,,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,408,0.0,,
7,1 yr,1 yr,PHI,,,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,408,0.0,,
8,1 yr,1 yr,WAS,,,7,5,1-4-0,95,177,53.7,1012,5,2.8,7,4.0,40,5.7,4.5,10.7,144.6,63.6,9,44,4.8,5.2,4.05,,,1,408,52.0,,
0,1976,23,PIT,qb,15.0,10,6,6-0-0,51,85,60.0,758,0,0,3,3.5,64,8.9,7.3,14.9,75.8,74.5,11,105,11.5,6.8,5.4,,,5,409,,AP ORoY-3,
1,1977,24,PIT,,15.0,2,0,,2,7,28.6,19,0,0,0,0.0,13,2.7,2.7,9.5,9.5,39.6,0,0,0.0,2.71,2.71,,,0,409,,,
2,1978,25,PIT,,15.0,9,0,,5,11,45.5,46,0,0,2,18.2,21,4.2,-4.0,9.2,5.1,17.8,4,40,26.7,0.4,-5.6,,,0,409,,,
3,1979,26,PIT,,15.0,8,0,,13,20,65.0,153,0,0,1,5.0,31,7.7,5.4,11.8,19.1,67.3,3,26,13.0,5.52,3.57,,,1,409,,,
4,1980,27,WAS,,15.0,7,1,0-1-0,22,31,71.0,209,0,0,2,6.5,41,6.7,3.8,9.5,29.9,62.4,5,51,13.9,4.39,1.89,,,1,409,,,
5,Career,Career,,,,36,7,6-1-0,93,154,60.4,1185,0,0,8,5.2,64,7.7,5.4,12.7,32.9,62.8,23,222,13.0,5.44,3.41,,,7,409,,,
6,4 yrs,4 yrs,PIT,,,29,6,6-0-0,71,123,57.7,976,0,0,6,4.9,64,7.9,5.7,13.7,33.7,62.9,18,171,12.8,5.71,3.79,,,6,409,,,
7,1 yr,1 yr,WAS,,,7,1,0-1-0,22,31,71.0,209,0,0,2,6.5,41,6.7,3.8,9.5,29.9,62.4,5,51,13.9,4.39,1.89,,,1,409,,,
0,1974,22,BUF,,17.0,3,0,,9,18,50.0,140,2,11.1,3,16.7,44,7.8,2.5,15.6,46.7,73.6,1,1,5.3,7.32,2.32,,,1,410,,,
1,1975,23,BUF,,17.0,5,0,,13,33,39.4,235,3,9.1,2,6.1,64,7.1,6.2,18.1,47.0,69.6,2,15,5.7,6.29,5.43,,,2,410,,,
2,1976,24,BUF,QB,17.0,11,7,0-7-0,82,232,35.3,998,7,3.0,16,6.9,39,4.3,1.8,12.2,90.7,30.8,22,166,8.7,3.28,0.99,,,0,410,,,
3,Career,Career,,,,19,7,0-7-0,104,283,36.7,1373,12,4.2,21,7.4,64,4.9,2.4,13.2,72.3,36.1,25,182,8.1,3.87,1.58,,,3,410,,,
0,2008,23,ATL,QB,2.0,16,16,11-5-0,265,434,61.1,3440,16,3.7,11,2.5,70,7.9,7.5,13.0,215.0,87.7,17,104,3.8,7.4,7.01,2.0,4.0,14,411,156,AP ORoY-1,68.8
1,2009,24,ATL,QB,2.0,14,14,9-5-0,263,451,58.3,2916,22,4.9,14,3.1,90,6.5,6.0,11.1,208.3,80.9,19,92,4.0,6.01,5.6,1.0,3.0,10,411,153,,67.7
2,2010*,25,ATL,QB,2.0,16,16,13-3-0,357,571,62.5,3705,28,4.9,9,1.6,46,6.5,6.8,10.4,231.6,91.0,23,158,3.9,5.97,6.23,5.0,6.0,16,411,202,PB,71.2
3,2011,26,ATL,QB,2.0,16,16,10-6-0,347,566,61.3,4177,29,5.1,12,2.1,80,7.4,7.5,12.0,261.1,92.2,26,173,4.4,6.76,6.83,3.0,3.0,15,411,208,,69.3
4,2012*,27,ATL,QB,2.0,16,16,13-3-0,422,615,68.6,4719,32,5.2,14,2.3,80,7.7,7.7,11.2,294.9,99.1,28,210,4.4,7.01,7.03,4.0,6.0,18,411,248,PB,71.6
5,2013,28,ATL,QB,2.0,16,16,4-12-0,439,651,67.4,4515,26,4.0,17,2.6,81,6.9,6.6,10.3,282.2,89.6,44,298,6.3,6.07,5.72,1.0,1.0,13,411,228,,67.5
6,2014*,29,ATL,QB,2.0,16,16,6-10-0,415,628,66.1,4694,28,4.5,14,2.2,79,7.5,7.4,11.3,293.4,93.9,31,205,4.7,6.81,6.71,3.0,3.0,15,411,233,PB,68.4
7,2015,30,ATL,QB,2.0,16,16,8-8-0,407,614,66.3,4591,21,3.4,16,2.6,70,7.5,7.0,11.3,286.9,89.0,30,203,4.7,6.81,6.35,4.0,4.0,14,411,228,,64.1
8,2016*+,31,ATL,QB,2.0,16,16,11-5-0,373,534,69.9,4944,38,7.1,7,1.3,76,9.3,10.1,13.3,309.0,117.1,37,235,6.5,8.25,9.03,1.0,2.0,21,411,240,"AP MVP-1, AP OPoY-1, AP1, PB",79.6
9,2017,32,ATL,QB,2.0,16,16,10-6-0,342,529,64.7,4095,20,3.8,12,2.3,88,7.7,7.5,12.0,255.9,91.4,24,156,4.3,7.12,6.87,2.0,3.0,15,411,199,,67.1
10,2018,33,ATL,QB,2.0,16,16,7-9-0,422,608,69.4,4924,35,5.8,7,1.2,75,8.1,8.7,11.7,307.8,108.1,42,296,6.5,7.12,7.71,1.0,1.0,16,411,236,,65.7
11,2019,34,ATL,QB,2.0,15,15,7-8-0,408,616,66.2,4466,26,4.2,14,2.3,93,7.3,7.1,10.9,297.7,92.1,48,316,7.2,6.25,6.08,3.0,2.0,13,411,228,,59.6
12,2020,35,ATL,QB,2.0,16,16,4-12-0,407,626,65.0,4581,26,4.2,11,1.8,63,7.3,7.4,11.3,286.3,93.3,41,257,6.1,6.48,6.52,,,13,411,242,,59.8
13,2021,36,ATL,QB,2.0,17,17,7-10-0,375,560,67.0,3968,20,3.6,12,2.1,64,7.1,6.8,10.6,233.4,90.4,40,274,6.7,6.16,5.92,3.0,4.0,10,411,195,,46.1
14,Career,Career,,,,222,222,120-102-0,5242,8003,65.5,59735,367,4.6,170,2.1,93,7.5,7.4,11.4,269.1,94.2,450,2977,5.3,6.71,6.68,33.0,42.0,203,411,2996,,
0,2004,25,PIT,,2.0,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,1.0,1.0,0,412,0,,
1,2009,30,ARI,,2.0,1,0,,2,4,50.0,12,1,25.0,1,25.0,9,3.0,-3.3,6.0,12.0,56.2,0,0,0.0,3.0,-3.25,,,0,412,2,,5.0
2,2010,31,CAR,,6.0,1,1,0-1-0,13,28,46.4,173,1,3.6,2,7.1,88,6.2,3.7,13.3,173.0,48.7,3,23,9.7,4.84,2.58,,,0,412,3,,10.9
3,Career,Career,,,,3,1,0-1-0,15,33,45.5,185,2,6.1,3,9.1,88,5.6,2.7,12.3,61.7,45.6,3,23,8.3,4.5,1.86,1.0,1.0,0,412,5,,
4,1 yr,1 yr,ARI,,,1,0,,2,4,50.0,12,1,25.0,1,25.0,9,3.0,-3.3,6.0,12.0,56.2,0,0,0.0,3.0,-3.25,,,0,412,2,,
5,1 yr,1 yr,CAR,,,1,1,0-1-0,13,28,46.4,173,1,3.6,2,7.1,88,6.2,3.7,13.3,173.0,48.7,3,23,9.7,4.84,2.58,,,0,412,3,,
6,1 yr,1 yr,PIT,,,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,1.0,1.0,0,412,0,,
0,1988,25,HOU,qb,14.0,6,5,3-2-0,52,112,46.4,775,4,3.6,6,5.4,51,6.9,5.2,14.9,129.2,59.2,10,72,8.2,5.76,4.2,1.0,2.0,3,413,,,
1,1989,26,HOU,,14.0,6,0,,15,31,48.4,155,0,0.0,1,3.2,23,5.0,3.5,10.3,25.8,49.8,2,20,6.1,4.09,2.73,,,0,413,,,
2,1990,27,HOU,,14.0,6,1,1-0-0,37,55,67.3,383,4,7.3,2,3.6,53,7.0,6.8,10.4,63.8,96.2,3,15,5.2,6.34,6.17,,,2,413,,,
3,1991,28,HOU,,14.0,3,0,,7,12,58.3,114,1,8.3,0,0.0,68,9.5,11.2,16.3,38.0,118.1,1,9,7.7,8.08,9.62,,,0,413,,,
4,1992,29,HOU,qb,14.0,11,6,4-2-0,149,227,65.6,1710,9,4.0,11,4.8,65,7.5,6.1,11.5,155.5,81.2,15,90,6.2,6.69,5.39,3.0,3.0,7,413,,,
5,1993,30,HOU,,14.0,8,2,2-0-0,51,90,56.7,605,2,2.2,4,4.4,47,6.7,5.2,11.9,75.6,66.2,8,53,8.2,5.63,4.2,,,2,413,,,
6,1994,31,HOU,qb,14.0,5,5,1-4-0,59,132,44.7,727,1,0.8,4,3.0,81,5.5,4.3,12.3,145.4,52.2,15,115,10.2,4.16,3.07,,,1,413,31.0,,
7,Career,Career,,,,45,19,11-8-0,370,659,56.1,4469,21,3.2,28,4.2,81,6.8,5.5,12.1,99.3,70.0,54,374,7.6,5.74,4.57,4.0,5.0,15,413,31.0,,
0,1991,24,PHI,,8.0,5,2,0-2-0,30,56,53.6,267,0,0.0,6,10.7,26,4.8,-0.1,8.9,53.4,27.0,6,37,9.7,3.71,-0.65,,,1,414,,,
1,1992,25,CLE,,8.0,1,0,,2,3,66.7,32,0,0.0,0,0.0,22,10.7,10.7,16.0,32.0,102.1,0,0,0.0,10.67,10.67,,,0,414,,,
2,1994,27,CLE,,8.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,414,,,
3,Career,Career,,,,7,2,0-2-0,32,59,54.2,299,0,0.0,6,10.2,26,5.1,0.5,9.3,42.7,28.8,6,37,9.2,4.03,-0.12,,,1,414,0.0,,
4,2 yrs,2 yrs,CLE,,,2,0,,2,3,66.7,32,0,0.0,0,0.0,22,10.7,10.7,16.0,16.0,102.1,0,0,0.0,10.67,10.67,,,0,414,0.0,,
5,1 yr,1 yr,PHI,,,5,2,0-2-0,30,56,53.6,267,0,0.0,6,10.7,26,4.8,-0.1,8.9,53.4,27.0,6,37,9.7,3.71,-0.65,,,1,414,0.0,,
0,2012*,22,WAS,QB,10.0,15,15,9-6-0,258,393,65.6,3200,20,5.1,5,1.3,88,8.1,8.6,12.4,213.3,102.4,30,217,7.1,7.05,7.47,3.0,2.0,18,415,151,"AP ORoY-1, PB",69.4
1,2013,23,WAS,QB,10.0,13,13,3-10-0,274,456,60.1,3203,16,3.5,12,2.6,62,7.0,6.5,11.7,246.4,82.2,38,274,7.7,5.93,5.48,1.0,2.0,9,415,159,,50.4
2,2014,24,WAS,QB,10.0,9,7,2-5-0,147,214,68.7,1694,4,1.9,6,2.8,69,7.9,7.0,11.5,188.2,86.9,33,227,13.4,5.94,5.17,0.0,1.0,5,415,70,,28.3
3,2016,26,CLE,qb,10.0,5,5,1-4-0,87,147,59.2,886,2,1.4,3,2.0,58,6.0,5.4,10.2,177.2,72.5,22,138,13.0,4.43,3.86,,,3,415,43,,39.1
4,2018,28,BAL,,3.0,3,0,,2,6,33.3,21,0,0.0,0,0.0,14,3.5,3.5,10.5,7.0,44.4,0,0,0.0,3.5,3.5,,,0,415,1,,2.0
5,2019,29,BAL,,3.0,7,1,1-0-0,23,38,60.5,225,1,2.6,2,5.3,39,5.9,4.1,9.8,32.1,64.0,5,19,11.6,4.79,3.16,,,2,415,10,,54.9
6,2020,30,BAL,,3.0,4,1,0-1-0,8,14,57.1,42,0,0.0,2,14.3,9,3.0,-3.4,5.3,10.5,22.6,3,20,17.6,1.29,-4.0,,,1,415,1,,20.2
7,Career,Career,,,,56,42,16-26-0,799,1268,63.0,9271,43,3.4,30,2.4,88,7.3,6.9,11.6,165.6,86.5,131,895,9.4,5.99,5.64,4.0,5.0,38,415,435,,
8,3 yrs,3 yrs,BAL,,,14,2,1-1-0,33,58,56.9,288,1,1.7,4,6.9,39,5.0,2.2,8.7,20.6,47.2,8,39,12.1,3.77,1.35,,,3,415,12,,
9,3 yrs,3 yrs,WAS,,,37,35,14-21-0,679,1063,63.9,8097,40,3.8,23,2.2,88,7.6,7.4,11.9,218.8,90.6,101,718,8.7,6.34,6.14,4.0,5.0,32,415,380,,
10,1 yr,1 yr,CLE,,,5,5,1-4-0,87,147,59.2,886,2,1.4,3,2.0,58,6.0,5.4,10.2,177.2,72.5,22,138,13.0,4.43,3.86,,,3,415,43,,
0,1959,24,RAM,,10.0,2,0,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0.0,0.0,,416,,,
1,1960,25,RAM,,10.0,4,1,0-1-0,9,24,37.5,78,0,0.0,2,8.3,16,3.3,-0.5,8.7,19.5,12.2,,,,,,,,0.0,416,,,
2,1961,26,DAL,,11.0,2,0,,1,2,50.0,16,0,0.0,0,0.0,16,8.0,8.0,16.0,8.0,77.1,,,,,,,,0.0,416,,,
3,1963,28,STL,,11.0,4,0,,4,11,36.4,96,1,9.1,0,0.0,33,8.7,10.5,24.0,24.0,99.1,0.0,0.0,0.0,8.73,10.55,,,0.0,416,,,
4,1964,29,STL,,11.0,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0.0,0.0,0.0,0.0,,,0.0,416,,,
5,1965,30,STL,,11.0,7,3,0-3-0,58,105,55.2,736,1,1.0,9,8.6,53,7.0,3.3,12.7,105.1,44.8,8.0,72.0,7.1,5.88,2.47,,,2.0,416,,,
6,1966,31,HOU,,11.0,6,1,0-1-0,15,32,46.9,168,2,6.3,1,3.1,32,5.3,5.1,11.2,28.0,70.8,0.0,0.0,0.0,5.25,5.09,,,1.0,416,,,
7,Career,Career,,,,26,5,0-5-0,87,175,49.7,1094,4,2.3,12,6.9,53,6.3,3.6,12.6,42.1,48.6,8.0,72.0,4.4,5.58,3.07,0.0,0.0,3.0,416,,,
8,3 yrs,3 yrs,STL,,,12,3,0-3-0,62,117,53.0,832,2,1.7,9,7.7,53,7.1,4.0,13.4,69.3,49.5,8.0,72.0,6.4,6.08,3.16,,,2.0,416,,,
9,2 yrs,2 yrs,RAM,,,6,1,0-1-0,9,24,37.5,78,0,0.0,2,8.3,16,3.3,-0.5,8.7,13.0,12.2,,,,,,0.0,0.0,0.0,416,,,
10,1 yr,1 yr,DAL,,,2,0,,1,2,50.0,16,0,0.0,0,0.0,16,8.0,8.0,16.0,8.0,77.1,,,,,,,,0.0,416,,,
11,1 yr,1 yr,HOU,,,6,1,0-1-0,15,32,46.9,168,2,6.3,1,3.1,32,5.3,5.1,11.2,28.0,70.8,0.0,0.0,0.0,5.25,5.09,,,1.0,416,,,
0,1976,23,SDG,,19.0,5,0.0,,2,2,100,11,0,0,0,0,7,5.5,5.5,5.5,2.2,89.6,0,0,0,5.5,5.5,,,0,417,,,
1,Career,Career,,,,5,,,2,2,100,11,0,0,0,0,7,5.5,5.5,5.5,2.2,89.6,0,0,0,5.5,5.5,,,0,417,,,
0,2016,25,NYJ,,9.0,6,4,1-3-0,75,133,56.4,809,3,2.3,7,5.3,52,6.1,4.2,10.8,134.8,60.0,13,79,8.9,5.0,3.25,1.0,1.0,2,418,35,,15.9
1,2017,26,NYJ,,9.0,4,3,0-3-0,55,112,49.1,544,1,0.9,3,2.7,46,4.9,3.8,9.9,136.0,55.1,8,55,6.7,4.08,3.12,,,2,418,25,,29.7
2,Career,Career,,,,10,7,1-6-0,130,245,53.1,1353,4,1.6,10,4.1,52,5.5,4.0,10.4,135.3,57.7,21,134,7.9,4.58,3.19,1.0,1.0,4,418,60,,
0,1972,24,SFO,,19.0,9,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,419,,,
1,1973,25,SFO,,19.0,6,3,1-2-0,51,114,44.7,589,2,1.8,6,5.3,38,5.2,3.1,11.5,98.2,44.8,10,56,8.1,4.3,2.44,,,3,419,,,
2,1974,26,SFO,,19.0,6,4,2-2-0,29,74,39.2,316,2,2.7,7,9.5,58,4.3,0.6,10.9,52.7,22.1,7,50,8.6,3.28,-0.11,1.0,1.0,2,419,,,
3,1975,27,DET,QB,14.0,10,8,4-4-0,86,191,45.0,1181,9,4.7,10,5.2,65,6.2,4.8,13.7,118.1,59.3,14,119,6.8,5.18,3.86,0.0,1.0,6,419,,,
4,1976,28,DET,,14.0,13,2,1-1-0,32,62,51.6,425,3,4.8,3,4.8,57,6.9,5.6,13.3,32.7,69.6,12,93,16.2,4.49,3.47,0.0,1.0,2,419,,,
5,1977,29,DET,,14.0,3,1,1-0-0,13,40,32.5,150,0,0.0,4,10.0,26,3.8,-0.8,11.5,50.0,5.2,11,75,21.6,1.47,-2.06,,,0,419,,,
6,1978,30,DET,,14.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,419,,,
7,1979,31,DET,,14.0,2,1,0-1-0,14,32,43.8,164,2,6.3,1,3.1,50,5.1,5.0,11.7,82.0,67.7,5,27,13.5,3.7,3.57,,,0,419,,,
8,Career,Career,,,,50,19,9-10-0,225,513,43.9,2825,18,3.5,31,6.0,65,5.5,3.5,12.6,56.5,48.1,59,420,10.3,4.2,2.4,1.0,3.0,13,419,,,
9,5 yrs,5 yrs,DET,,,29,12,6-6-0,145,325,44.6,1920,14,4.3,18,5.5,65,5.9,4.3,13.2,66.2,55.2,42,314,11.4,4.38,2.93,0.0,2.0,8,419,,,
10,3 yrs,3 yrs,SFO,,,21,7,3-4-0,80,188,42.6,905,4,2.1,13,6.9,58,4.8,2.1,11.3,43.1,35.9,17,106,8.3,3.9,1.43,1.0,1.0,5,419,,,
0,1964,23,HOU,,10.0,14,1,0-1-0,36,86,41.9,439,1,1.2,2,2.3,36,5.1,4.3,12.2,31.4,52.4,0,0,0.0,5.1,4.29,,,2,420,,,
1,1965,24,HOU,,10.0,14,2,1-1-0,38,107,35.5,528,5,4.7,5,4.7,57,4.9,3.8,13.9,37.7,48.3,0,0,0.0,4.93,3.77,0.0,1.0,3,420,,,
2,1966,25,HOU,qb,10.0,14,5,0-5-0,84,172,48.8,1200,10,5.8,5,2.9,62,7.0,6.8,14.3,85.7,79.1,0,0,0.0,6.98,6.83,,,7,420,,,
3,1967,26,2TM,,,10,3,0-3-0,31,92,33.7,480,1,1.1,7,7.6,52,5.2,2.0,15.5,48.0,23.8,0,0,0.0,5.22,2.01,,,2,420,,,
4,,,BOS,,10.0,7,3,0-3-0,27,81,33.3,442,1,1.2,7,8.6,52,5.5,1.8,16.4,63.1,20.7,0,0,0.0,5.46,1.81,,,2,420,,,
5,,,HOU,,10.0,3,0,,4,11,36.4,38,0,0.0,0,0.0,16,3.5,3.5,9.5,12.7,46.8,0,0,0.0,3.45,3.45,,,0,420,,,
